AirportId,Iata,Latitude,Longitude,Timezone
10001,01A,58.10944444,-152.90666667,America/Anchorage
10003,03A,65.54805556,-161.07166667,America/Anchorage
10004,04A,68.08333333,-163.16666667,America/Nome
10005,05A,67.57,-148.18388889,America/Anchorage
10006,06A,57.74527778,-152.88277778,America/Anchorage
10007,07A,55.55472222,-133.10166667,America/Sitka
10008,08A,59.15694444,-151.82916667,America/Anchorage
10009,09A,59.36277778,-153.43055556,America/Anchorage
10010,1B1,42.29138889,-73.71027778,America/New_York
10011,1G4,35.98611111,-113.81694444,America/Phoenix
10012,1N7,40.97111111,-74.9975,America/New_York
10013,8F3,33.62388889,-101.24083333,America/Chicago
10014,A01,64.36361111,-147.36527778,America/Anchorage
10015,A02,57.06666667,-153.93777778,America/Anchorage
10016,A03,58.4575,-154.02333333,America/Anchorage
10017,A04,57.27722222,-154.34222222,America/Anchorage
10018,A05,61.96388889,-151.55583333,America/Anchorage
10019,A06,65.65555556,-165.35638889,America/Nome
10020,A07,66.76611111,-160.15277778,America/Anchorage
10021,A08,56.59805556,-134.24277778,America/Sitka
10022,A09,60.48166667,-146.58416667,America/Anchorage
10023,KTH,59.95555556,-158.48055556,America/Anchorage
10024,A11,60.78388889,-159.54027778,America/Anchorage
10025,A12,60.78527778,-158.86444444,America/Anchorage
10026,A13,61.39027778,-157.99555556,America/Anchorage
10027,A14,61.18888889,-159.85833333,America/Anchorage
10028,A15,70.71555556,-154.40694444,America/Anchorage
10029,A16,70.74694444,-155.36083333,America/Anchorage
10030,A17,58.06555556,-153.0725,America/Anchorage
10031,A18,63.54111111,-150.995,America/Anchorage
10033,A20,70.34416667,-150.94472222,America/Anchorage
10034,A21,65.85138889,-164.70277778,America/Nome
10035,A22,53.97277778,-166.85694444,America/Nome
10036,A23,59.77611111,-151.96361111,America/Anchorage
10037,A24,59.33166667,-135.89666667,America/Juneau
10038,A25,59.28833333,-136.17388889,America/Juneau
10039,A26,68.48333333,-155.73333333,America/Anchorage
10040,A27,64.44,-144.93638889,America/Anchorage
10041,A28,57.25388889,-154.42222222,America/Anchorage
10042,A29,57.32305556,-153.14944444,America/Anchorage
10043,A30,57.96388889,-153.05833333,America/Anchorage
10044,A31,58.98277778,-153.18333333,America/Anchorage
10047,A34,58.36194444,-152.31222222,America/Anchorage
10049,A36,55.56027778,-131.65555556,America/Sitka
10050,A37,61.89888889,-161.43972222,America/Anchorage
10051,A38,64.09722222,-143.26666667,America/Anchorage
10052,A39,61.86611111,-141.15972222,America/Anchorage
10053,A40,71.05694444,-154.72833333,America/Anchorage
10054,A41,70.57472222,-152.25888889,America/Anchorage
10055,A42,70.35833333,-153.19666667,America/Anchorage
10056,A43,57.78083333,-152.39111111,America/Anchorage
10058,A45,57.81666667,-134.58333333,America/Juneau
10059,A46,57.7,-134.26666667,America/Juneau
10060,A47,57.61666667,-134.36666667,America/Juneau
10061,A48,57.15,-153.15,America/Anchorage
10062,A49,70.28444444,-152.21194444,America/Anchorage
10063,A50,58.5625,-152.59611111,America/Anchorage
10064,A51,64.35277778,-151.275,America/Anchorage
10065,A52,59.96388889,-152.68222222,America/Anchorage
10066,A53,64.33333333,-147.5,America/Anchorage
10067,A54,53.68333333,-166.75,America/Nome
10069,A56,56.03666667,-160.26611111,America/Anchorage
10070,A57,58.26666667,-157.53333333,America/Anchorage
10071,A58,64.5,-151.66666667,America/Anchorage
10072,A59,68.48777778,-155.7575,America/Anchorage
10074,A61,54.5825,-164.91444444,America/Nome
10075,A62,60.86777778,-157.39194444,America/Anchorage
10076,A63,65.31166667,-143.13416667,America/Anchorage
10078,A65,57.53833333,-154.16444444,America/Anchorage
10079,A66,60.90722222,-149.62277778,America/Anchorage
10080,A67,57.84944444,-153.11527778,America/Anchorage
10082,A69,55.74,-162.12527778,America/Nome
10083,A70,57.77416667,-153.54472222,America/Anchorage
10084,A71,59.73833333,-151.03,America/Anchorage
10085,A72,59.83333333,-152.58472222,America/Anchorage
10086,A73,63.7325,-148.91055556,America/Anchorage
10087,A74,59.24111111,-151.87722222,America/Anchorage
10088,A75,58.17194444,-152.89416667,America/Anchorage
10089,A76,58.46444444,-152.59305556,America/Anchorage
10090,A77,57.34333333,-152.89722222,America/Anchorage
10091,A78,71.03,-154.44361111,America/Anchorage
10092,A79,71.50166667,-154.03388889,Etc/GMT+10
10093,A80,70.57388889,-155.32138889,America/Anchorage
10094,A81,70.66277778,-154.83666667,America/Anchorage
10095,A82,60.69027778,-151.28888889,America/Anchorage
10096,A83,59.37638889,-150.765,America/Anchorage
10097,A84,63.75555556,-147.93,America/Anchorage
10098,A85,61.85944444,-154.27666667,America/Anchorage
10100,A87,58.58305556,-152.44583333,America/Anchorage
10102,A89,59.925,-147.51666667,America/Anchorage
10103,A90,59.03916667,-158.46388889,America/Anchorage
10104,A91,69.15555556,-163.49722222,America/Nome
10105,A92,69.14805556,-163.51027778,America/Nome
10106,A93,59.79166667,-151.26666667,America/Anchorage
10107,A94,70.57416667,-155.31805556,America/Anchorage
10108,A95,70.31194444,-153.24916667,America/Anchorage
10109,A96,70.98083333,-157.095,America/Anchorage
10110,A97,68.98555556,-163.47972222,America/Nome
10111,A98,69.17083333,-163.25638889,America/Nome
10112,A99,68.67666667,-162.64694444,America/Nome
10113,AA1,59.95277778,-162.61694444,America/Nome
10116,AA4,59.63333333,-151.20833333,America/Anchorage
10117,AA5,66.95583333,-155.615,America/Anchorage
10122,AAF,29.72638889,-85.025,America/New_York
10135,ABE,40.65166667,-75.44277778,America/New_York
10136,ABI,32.40833333,-99.6825,America/Chicago
10139,ABL,67.0875,-157.84583333,America/Anchorage
10140,ABQ,35.03805556,-106.61,America/Denver
10141,ABR,45.44666667,-98.42305556,America/Chicago
10146,ABY,31.53555556,-84.19444444,America/New_York
10149,ACB,44.98861111,-85.19833333,America/Detroit
10154,ACK,41.25333333,-70.06055556,America/New_York
10155,ACT,31.60416667,-97.22972222,America/Chicago
10157,ACV,40.97777778,-124.10833333,America/Los_Angeles
10158,ACY,39.45916667,-74.57861111,America/New_York
10165,ADK,51.88361111,-176.6425,America/Adak
10167,ADM,34.30305556,-97.02111111,America/Chicago
10170,ADQ,57.74972222,-152.49388889,America/Anchorage
10171,ADS,32.96861111,-96.83638889,America/Chicago
10172,ADW,38.81083333,-76.86694444,America/New_York
10176,AED,58.03333333,-152.9,America/Anchorage
10184,AET,66.55194444,-152.62222222,America/Anchorage
10185,AEX,31.32333333,-92.54694444,America/Chicago
10189,AFF,38.97361111,-104.81972222,America/Denver
10190,AFK,40.60666667,-95.86666667,America/Chicago
10191,AFO,42.70888889,-110.94222222,America/Denver
10192,AFP,35.02055556,-80.07722222,America/New_York
10194,AFW,32.99027778,-97.31944444,America/Chicago
10198,AGC,40.35416667,-79.9275,America/New_York
10204,AGN,57.50388889,-134.58333333,America/Juneau
10208,AGS,33.37,-81.96444444,America/New_York
10215,AHD,34.14694444,-97.12277778,America/Chicago
10216,AHN,33.94861111,-83.32583333,America/New_York
10219,AHT,51.37861111,179.25861111,America/Adak
10221,AIA,42.05361111,-102.80333333,America/Denver
10222,AIB,56.19,-132.44583333,America/Sitka
10223,AID,40.10861111,-85.61305556,America/Indiana/Indianapolis
10224,AIK,33.64944444,-81.685,America/New_York
10225,AIN,70.63805556,-159.99472222,America/Anchorage
10227,AIY,39.36,-74.45722222,America/New_York
10228,AIZ,38.09611111,-92.54944444,America/Chicago
10237,AKB,52.22055556,-174.20611111,America/Adak
10238,AKC,41.0375,-81.46777778,America/New_York
10241,AKI,60.90277778,-161.23055556,America/Anchorage
10243,AKK,56.93861111,-154.1825,America/Anchorage
